id,batch,resort_name,local_name,country,region,ski_area,inclusion_basis,road_head_hint,skiresort_url,notes_for_agent
1,FR1,Courchevel,,FR,Savoie,3 Vallées,km≥60 (3 Vallées 600 km),,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,Villages 1850/1650/1550/Le Praz = one row
2,FR1,Méribel,,FR,Savoie,3 Vallées,km≥60,,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,Incl. Méribel-Mottaret
3,FR1,Les Menuires,,FR,Savoie,3 Vallées,km≥60,,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,
4,FR1,Val Thorens,,FR,Savoie,3 Vallées,km≥60; glacier (Péclet); alt 3230; FWT Val Thorens Pro 2025/26,,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,
5,FR1,Saint-Martin-de-Belleville,,FR,Savoie,3 Vallées,km≥60,,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,
6,FR1,Orelle,,FR,Savoie,3 Vallées,km≥60; alt (Cime Caron 3200),,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,Maurienne-side gateway to Val Thorens
7,FR1,Tignes,,FR,Savoie,Tignes–Val d'Isère (Espace Killy),km≥60; glacier (Grande Motte); alt 3456,,https://www.skiresort.com/en/ski-resort/tignes-val-disere/,Grande Motte glacier: check autumn opening
8,FR1,Val d'Isère,,FR,Savoie,Tignes–Val d'Isère (Espace Killy),km≥60; glacier (Pissaillas); alt,,https://www.skiresort.com/en/ski-resort/tignes-val-disere/,
9,FR1,La Plagne,,FR,Savoie,Paradiski,km≥60; glacier (Bellecôte – verify lifts); alt 3250,,https://www.skiresort.com/en/ski-resort/la-plagne-paradiski/,"Villages incl. Montchavin, Champagny = one row"
10,FR1,Les Arcs,,FR,Savoie,Paradiski,km≥60; alt (Aiguille Rouge 3226); FWQ history,,https://www.skiresort.com/en/ski-resort/les-arcs-peisey-vallandry-paradiski/,
11,FR1,Peisey-Vallandry,,FR,Savoie,Paradiski,km≥60,,https://www.skiresort.com/en/ski-resort/les-arcs-peisey-vallandry-paradiski/,
12,FR1,La Rosière,,FR,Savoie,Espace San Bernardo,km≥60; alt 2800,,https://www.skiresort.com/en/ski-resort/espace-san-bernardo-la-rosiere-la-thuile/,Linked to La Thuile IT via Petit-St-Bernard (pass road closed in winter)
13,FR1,Sainte-Foy-Tarentaise,,FR,Savoie,Sainte-Foy-Tarentaise,freeride destination in guidebooks (criterion 3),,,Small area; include for freeride reputation
14,FR1,Arêches-Beaufort,,FR,Savoie,Arêches-Beaufort,ski-touring destination (Pierra Menta) (criterion 3),,,
15,FR1,Valmorel,,FR,Savoie,Le Grand Domaine,km≥60,,https://www.skiresort.com/en/ski-resort/le-grand-domaine-valmorel-doucy-celliers-st-francois-longchamp/,
16,FR1,Saint-François-Longchamp,,FR,Savoie,Le Grand Domaine,km≥60,,https://www.skiresort.com/en/ski-resort/le-grand-domaine-valmorel-doucy-celliers-st-francois-longchamp/,
17,FR1,Les Saisies,,FR,Savoie,Espace Diamant,km≥60,,https://www.skiresort.com/en/ski-resort/espace-diamant-les-saisies-notre-dame-de-bellecombe-praz-sur-arly-flumet-crest-voland/,"Crest-Voland/Cohennoz and Flumet noted as villages, not rows"
18,FR1,Notre-Dame-de-Bellecombe,,FR,Savoie,Espace Diamant,km≥60,,https://www.skiresort.com/en/ski-resort/espace-diamant-les-saisies-notre-dame-de-bellecombe-praz-sur-arly-flumet-crest-voland/,
19,FR1,Praz-sur-Arly,,FR,Haute-Savoie,Espace Diamant,km≥60,,https://www.skiresort.com/en/ski-resort/espace-diamant-les-saisies-notre-dame-de-bellecombe-praz-sur-arly-flumet-crest-voland/,
20,FR2,Le Corbier,,FR,Savoie,Les Sybelles,km≥60,,https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,
21,FR2,La Toussuire,,FR,Savoie,Les Sybelles,km≥60,,https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,
22,FR2,Saint-Sorlin-d'Arves,,FR,Savoie,Les Sybelles,km≥60,,https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,
23,FR2,Saint-Jean-d'Arves,,FR,Savoie,Les Sybelles,km≥60,,https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,
24,FR2,Valloire,,FR,Savoie,Galibier-Thabor,km≥60,,https://www.skiresort.com/en/ski-resort/galibier-thabor-valmeinier-valloire/,Col du Galibier closed in winter
25,FR2,Valmeinier,,FR,Savoie,Galibier-Thabor,km≥60,,https://www.skiresort.com/en/ski-resort/galibier-thabor-valmeinier-valloire/,
26,FR2,Val Cenis,,FR,Savoie,Val Cenis (Haute Maurienne Vanoise),km≥60; alt 2800,,https://www.skiresort.com/en/ski-resort/val-cenis-lanslevillard-lanslebourg-termignon/,Lanslevillard/Lanslebourg/Termignon = one row; Mont-Cenis pass closed in winter
27,FR2,Valfréjus,,FR,Savoie,Valfréjus,km≥60,,https://www.skiresort.com/en/ski-resort/valfrejus/,Fréjus tunnel exit
28,FR2,La Norma,,FR,Savoie,La Norma,km≥60,,https://www.skiresort.com/en/ski-resort/la-norma/,
29,FR2,Les Karellis,,FR,Savoie,Les Karellis,km≥60,,https://www.skiresort.com/en/ski-resort/les-karellis/,
30,FR2,Bonneval-sur-Arc,,FR,Savoie,Bonneval-sur-Arc,alt 2947; touring hub,,,Col de l'Iseran closed in winter
31,FR2,Alpe d'Huez,,FR,Isère,Alpe d'Huez Grand Domaine,km≥60; glacier (Sarenne/Pic Blanc); alt 3330,,https://www.skiresort.com/en/ski-resort/alpe-dhuez/,"Auris, Villard-Reculas noted as villages"
32,FR2,Vaujany,,FR,Isère,Alpe d'Huez Grand Domaine,km≥60,,https://www.skiresort.com/en/ski-resort/alpe-dhuez/,
33,FR2,Oz-en-Oisans,,FR,Isère,Alpe d'Huez Grand Domaine,km≥60,,https://www.skiresort.com/en/ski-resort/alpe-dhuez/,
34,FR2,Les 2 Alpes,,FR,Isère,Les 2 Alpes,km≥60; glacier; alt 3568,,https://www.skiresort.com/en/ski-resort/les-2-alpes/,Glacier autumn opening; check 2026/27 dates
35,FR2,Les 7 Laux,,FR,Isère,Les 7 Laux,km≥60,,https://www.skiresort.com/en/ski-resort/les-7-laux-prapoutel-le-pleynet-pipay/,Prapoutel/Pipay/Le Pleynet = one row
36,FR2,Chamrousse,,FR,Isère,Chamrousse,km≥60,,https://www.skiresort.com/en/ski-resort/chamrousse/,
37,FR2,Villard-de-Lans–Corrençon,,FR,Isère,Espace Villard-Corrençon (Vercors),km≥60,,https://www.skiresort.com/en/ski-resort/espace-villard-correncon-villard-de-lans-correncon-en-vercors/,"Vercors, Isère"
38,FR3,Chamonix,,FR,Haute-Savoie,"Chamonix Mont-Blanc (Brévent-Flégère, Grands Montets, Balme, Aiguille du Midi)","glacier (Vallée Blanche, Grands Montets); alt 3842; FWT venue",,https://www.skiresort.com/en/ski-resort/aiguille-du-midi-chamonix/,Argentière/Le Tour = villages of Chamonix row. Check new Grands Montets lifts status
39,FR3,Megève,,FR,Haute-Savoie,Evasion Mont-Blanc,km≥60,,https://www.skiresort.com/en/ski-resort/megeve-saint-gervais/,
40,FR3,Saint-Gervais-les-Bains,,FR,Haute-Savoie,Evasion Mont-Blanc,km≥60,,https://www.skiresort.com/en/ski-resort/megeve-saint-gervais/,"Incl. Saint-Nicolas-de-Véroce, Le Bettex"
41,FR3,Combloux,,FR,Haute-Savoie,Les Portes du Mont-Blanc / Evasion Mont-Blanc,km≥60 (Portes du Mont-Blanc 85 km),,https://www.skiresort.com/en/ski-resort/les-portes-du-mont-blanc-combloux-megeve-le-jaillet-la-giettaz/,La Giettaz noted as village
42,FR3,Les Contamines-Montjoie,,FR,Haute-Savoie,Les Contamines-Hauteluce (Evasion Mont-Blanc pass),km≥60,,https://www.skiresort.com/en/ski-resort/les-contamines-hauteluce/,
43,FR3,La Clusaz,,FR,Haute-Savoie,La Clusaz–Manigod,km≥60; FWQ history (Balme),,https://www.skiresort.com/en/ski-resort/la-clusaz-manigod/,Manigod on same local pass
44,FR3,Le Grand-Bornand,,FR,Haute-Savoie,Le Grand-Bornand,km≥60,,https://www.skiresort.com/en/ski-resort/le-grand-bornand/,
45,FR3,Flaine,,FR,Haute-Savoie,Le Grand Massif,km≥60,,https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,
