resort_name,country,latitude,longitude
Zermatt,CH,46.06863,7.77533
Chamonix,FR,45.91821,6.87018
Les 2 Alpes,FR,45.01007,6.12559
Saas-Fee,CH,46.10978,7.93129
La Grave,FR,45.04426,6.30311
Cervinia,IT,45.93560,7.63044
Courmayeur,IT,45.78996,6.96520
Tignes,FR,45.46928,6.90663
Val d'Isère,FR,45.44956,6.97874
Passo dello Stelvio,IT,46.52862,10.45321
Pitztal Glacier,AT,46.95825,10.87147
Sölden,AT,46.95997,11.00929
Alpe d'Huez,FR,45.09240,6.06994
Oz-en-Oisans,FR,45.12802,6.07100
Vaujany,FR,45.15740,6.07915
Verbier,CH,46.09364,7.23316
Corvatsch – Silvaplana/Sils,CH,46.45515,9.81421
Alagna Valsesia,IT,45.85388,7.93625
Champoluc,IT,45.83164,7.72600
Gressoney-La-Trinité,IT,45.85973,7.81290
Arabba–Marmolada,IT,46.49718,11.87409
Solda,IT,46.52804,10.58426
Hintertux Glacier,AT,47.10683,11.67498
Orelle,FR,45.20737,6.54594
Val Thorens,FR,45.29791,6.58227
Les Arcs,FR,45.57340,6.77879
Peisey-Vallandry,FR,45.54987,6.76282
Val Senales,IT,46.75651,10.78275
Stubai Glacier,AT,47.01334,11.16261
Saas-Grund – Hohsaas,CH,46.12851,7.93923
Mölltal Glacier,AT,46.99855,13.03333
Belalp – Blatten,CH,46.35892,7.98428
Kaunertal Glacier,AT,46.86382,10.71354
Lauchernalp – Lötschental,CH,46.40210,7.77843
La Plagne,FR,45.50588,6.67436
St. Moritz,CH,46.48353,9.83266
Obergurgl–Hochgurgl,AT,46.87572,11.03308
Kaprun – Kitzsteinhorn,AT,47.22936,12.72673
Engelberg,CH,46.81620,8.39586
Laax,CH,46.82017,9.26325
Les Diablerets – Glacier 3000,CH,46.35415,7.20531
Bormio,IT,46.46418,10.37237
Diavolezza–Lagalb (Pontresina),CH,46.44174,9.98265
Bonneval-sur-Arc,FR,45.37387,7.05610
Ponte di Legno–Passo Tonale,IT,46.25801,10.58185
Pejo,IT,46.36304,10.66133
Saint-Luc–Chandolin,CH,46.22040,7.59820
Mürren – Schilthorn,CH,46.55545,7.90141
Andermatt,CH,46.63757,8.59375
Méribel,FR,45.39378,6.56699
Madesimo,IT,46.43353,9.35748
Crans-Montana,CH,46.30849,7.46955
Heiligenblut – Großglockner,AT,47.04051,12.84095
Macugnaga,IT,45.96789,7.96815
Grimentz–Zinal,CH,46.17511,7.57379
Santa Caterina Valfurva,IT,46.41215,10.49520
Arolla,CH,46.02606,7.48129
Ischgl,AT,47.01014,10.28801
Samnaun,CH,46.95121,10.37524
Aletsch Arena,CH,46.40600,8.13407
Arosa,CH,46.78388,9.67944
Lenzerheide,CH,46.73980,9.55665
Grächen,CH,46.19665,7.84151
Vals,CH,46.61659,9.18052
Davos,CH,46.81063,9.83667
Klosters,CH,46.86900,9.88044
Disentis,CH,46.70074,8.84062
Molines-en-Queyras–Saint-Véran,FR,44.72348,6.84727
Cortina d'Ampezzo,IT,46.53833,12.13735
Serfaus-Fiss-Ladis,AT,47.05717,10.61299
Lech–Zürs,AT,47.20798,10.14243
St. Anton am Arlberg,AT,47.12818,10.26286
Warth–Schröcken,AT,47.26002,10.17570
Les Menuires,FR,45.32408,6.53882
Saint-Martin-de-Belleville,FR,45.37980,6.50463
Serre Chevalier,FR,44.93253,6.59259
La Rosière,FR,45.62860,6.84784
Val Cenis,FR,45.28918,6.91156
La Thuile,IT,45.71143,6.94916
Bardonecchia,IT,45.07078,6.69644
Livigno,IT,46.53817,10.13599
Cesana–Sansicario,IT,44.95244,6.79067
Claviere,IT,44.93880,6.75029
