id,resort_name,country,base_lat,base_lon,distance_km,hours,via,hits_primary,modes,status,snap_m
1,Courchevel,FR,45.41503,6.63331,378.5,4.561,,,,ok,24
2,Méribel,FR,45.39378,6.56699,371.8,4.443,,,,ok,19
3,Les Menuires,FR,45.32408,6.53882,383.5,4.765,,,,ok,10
4,Val Thorens,FR,45.29791,6.58227,391.6,4.776,,,,ok,46
5,Saint-Martin-de-Belleville,FR,45.37980,6.50463,374.0,4.444,,,,ok,6
6,Orelle,FR,45.20737,6.54594,252.3,3.033,,,,ok,13
7,Tignes,FR,45.46928,6.90663,415.7,5.246,Albertville,Petit Saint-Bernard,,detour_forced,2
8,Val d'Isère,FR,45.44956,6.97874,417.5,5.354,Albertville,Iseran;Mont Cenis,,detour_forced,4
9,La Plagne,FR,45.50588,6.67436,387.7,4.709,,Petit Saint-Bernard,,alternative_used,11
10,Les Arcs,FR,45.57340,6.77879,394.8,4.910,Albertville,Petit Saint-Bernard,,detour_forced,58
11,Peisey-Vallandry,FR,45.54987,6.76282,392.1,4.783,Albertville,Petit Saint-Bernard,,detour_forced,31
12,La Rosière,FR,45.62860,6.84784,408.5,5.132,Albertville,Petit Saint-Bernard,,detour_forced,4
13,Sainte-Foy-Tarentaise,FR,45.57597,6.89372,404.9,5.122,Albertville,Petit Saint-Bernard,,detour_forced,30
14,Arêches-Beaufort,FR,45.68812,6.56237,355.8,4.351,,,,ok,28
15,Valmorel,FR,45.46236,6.44073,364.1,4.355,,,,ok,8
16,Saint-François-Longchamp,FR,45.41784,6.36348,295.5,3.630,,,,ok,5
17,Les Saisies,FR,45.75733,6.53945,294.6,4.016,,,,ok,9
18,Notre-Dame-de-Bellecombe,FR,45.80840,6.51715,282.6,3.790,,,,ok,12
19,Praz-sur-Arly,FR,45.83792,6.57045,276.5,3.671,,,,ok,28
20,Le Corbier,FR,45.24016,6.26823,289.4,3.603,,,,ok,44
21,La Toussuire,FR,45.25577,6.26267,287.8,3.593,,,,ok,41
22,Saint-Sorlin-d'Arves,FR,45.21760,6.22954,294.6,3.746,,,,ok,18
23,Saint-Jean-d'Arves,FR,45.21493,6.26006,291.1,3.719,,,,ok,11
24,Valloire,FR,45.16500,6.42964,275.5,3.444,,,,ok,27
25,Valmeinier,FR,45.17574,6.49353,274.3,3.434,,,,ok,13
26,Val Cenis,FR,45.28918,6.91156,273.1,3.432,Modane,Mont Cenis,,detour_forced,5
27,Valfréjus,FR,45.17368,6.65433,249.1,3.047,,,,ok,17
28,La Norma,FR,45.20145,6.69704,251.6,3.073,,,,ok,84
29,Les Karellis,FR,45.22857,6.40646,280.8,3.443,,,,ok,26
30,Bonneval-sur-Arc,FR,45.37387,7.05610,290.0,3.736,Modane,Mont Cenis,,detour_forced,0
31,Alpe d'Huez,FR,45.09240,6.06994,326.4,4.575,,,,ok,3
32,Vaujany,FR,45.15740,6.07915,331.8,4.705,Bourg-d'Oisans,Glandon,,detour_forced,25
33,Oz-en-Oisans,FR,45.12802,6.07100,333.1,4.750,Bourg-d'Oisans,Glandon,,detour_forced,23
34,Les 2 Alpes,FR,45.01007,6.12559,309.4,4.282,,,,ok,17
35,Les 7 Laux,FR,45.25678,5.99544,365.2,4.333,,,,ok,15
36,Chamrousse,FR,45.12621,5.87697,398.0,4.769,,,,ok,6
37,Villard-de-Lans–Corrençon,FR,45.04611,5.55721,410.8,5.035,,,,ok,3
38,Chamonix,FR,45.91821,6.87018,242.7,3.093,,,,ok,27
39,Megève,FR,45.85002,6.61477,272.9,3.605,,,,ok,2
40,Saint-Gervais-les-Bains,FR,45.87480,6.68587,270.2,3.571,,,,ok,17
41,Combloux,FR,45.89164,6.62208,271.1,3.545,,,,ok,135
42,Les Contamines-Montjoie,FR,45.81229,6.72350,271.6,3.647,,,,ok,2
43,La Clusaz,FR,45.90522,6.43226,317.4,4.126,,,,ok,6
44,Le Grand-Bornand,FR,45.97382,6.45508,384.1,4.795,Albertville,Colombière,,detour_forced,2
45,Flaine,FR,46.00413,6.69604,300.1,4.067,,,,ok,6
46,Les Carroz,FR,46.02471,6.64444,285.1,3.748,,,,ok,30
47,Samoëns,FR,46.06600,6.71177,297.4,3.916,,,,ok,152
48,Morillon,FR,46.08213,6.68021,293.2,3.810,,,,ok,8
49,Morzine,FR,46.17990,6.70194,305.7,4.068,,,,ok,12
50,Avoriaz,FR,46.19769,6.76800,318.7,4.350,,,,ok,3
51,Les Gets,FR,46.15678,6.66828,299.6,3.944,,,,ok,19
