id,resort_name,country,base_lat,base_lon,ignore_passes,force_via,coord_source
1,Courchevel,FR,45.41503,6.63331,,,agent
2,Méribel,FR,45.39378,6.56699,,,agent
3,Les Menuires,FR,45.32408,6.53882,,,agent
4,Val Thorens,FR,45.29791,6.58227,,,agent
5,Saint-Martin-de-Belleville,FR,45.37980,6.50463,,,agent
6,Orelle,FR,45.20737,6.54594,,,agent
7,Tignes,FR,45.46928,6.90663,,,agent
8,Val d'Isère,FR,45.44956,6.97874,,,agent
9,La Plagne,FR,45.50588,6.67436,,,agent
10,Les Arcs,FR,45.57340,6.77879,,,agent
11,Peisey-Vallandry,FR,45.54987,6.76282,,,agent
12,La Rosière,FR,45.62860,6.84784,,,agent
13,Sainte-Foy-Tarentaise,FR,45.57597,6.89372,,,agent
14,Arêches-Beaufort,FR,45.68812,6.56237,,,agent
15,Valmorel,FR,45.46236,6.44073,,,agent
16,Saint-François-Longchamp,FR,45.41784,6.36348,,,agent
17,Les Saisies,FR,45.75733,6.53945,,,agent
18,Notre-Dame-de-Bellecombe,FR,45.80840,6.51715,,,agent
19,Praz-sur-Arly,FR,45.83792,6.57045,,,agent
20,Le Corbier,FR,45.24016,6.26823,,,agent
21,La Toussuire,FR,45.25577,6.26267,,,agent
22,Saint-Sorlin-d'Arves,FR,45.21760,6.22954,,,agent
23,Saint-Jean-d'Arves,FR,45.21493,6.26006,,,agent
24,Valloire,FR,45.16500,6.42964,,,agent
25,Valmeinier,FR,45.17574,6.49353,,,agent
26,Val Cenis,FR,45.28918,6.91156,,,agent
27,Valfréjus,FR,45.17368,6.65433,,,agent
28,La Norma,FR,45.20145,6.69704,,,agent
29,Les Karellis,FR,45.22857,6.40646,,,agent
30,Bonneval-sur-Arc,FR,45.37387,7.05610,,,agent
31,Alpe d'Huez,FR,45.09240,6.06994,,,agent
32,Vaujany,FR,45.15740,6.07915,,,agent
33,Oz-en-Oisans,FR,45.12802,6.07100,,,agent
34,Les 2 Alpes,FR,45.01007,6.12559,,,agent
35,Les 7 Laux,FR,45.25678,5.99544,,,agent
36,Chamrousse,FR,45.12621,5.87697,,,agent
37,Villard-de-Lans–Corrençon,FR,45.04611,5.55721,,,agent
38,Chamonix,FR,45.91821,6.87018,,,agent
