name,url,country,region,subregion,vertical,base_m,top_m,km,lifts,price,list
Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,2130,1100,3230,600,159,€ 81.80,slope+alt+glacier
Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/,Switzerland,Lemanic Region,Valais (Wallis) / Val d'Illiez / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Haute-Savoie / Portes du Soleil,1269,985,2254,580,164,"€ 72,-",slope+alt
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/,Switzerland,Lemanic Region,Valais (Wallis) / Val d’Hérens / Europe / Switzerland / Lemanic Region / Valais (Wallis) / Val de Bagnes,1980,1350,3330,412,68,"SFr. 94,- / approx. € 100,-",slope+alt+glacier
Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/,Italy,Piedmont (Piemonte),Turin (Torino) / Europe / France / Provence-Alpes-Côte d’Azur / Hautes-Alpes / Briançon,1251,1538,2789,400,69,"€ 66,-",slope+alt
Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,https://www.skiresort.com/en/ski-resort/zermatt-breuil-cervinia-valtournenche-matterhorn/,Switzerland,Lemanic Region,Valais (Wallis) / Zermatt-Matterhorn / Europe / Italy / Aosta Valley (Valle d'Aosta) / Matterhorn (Monte Cervino),2337,1562,3899,322,51,"SFr. 116,- / approx. € 123,-",slope+alt+glacier
Tignes/Val d'Isère,https://www.skiresort.com/en/ski-resort/tignes-val-disere/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,1906,1550,3456,300,80,"€ 75,-",slope+alt+glacier
St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,https://www.skiresort.com/en/ski-resort/st-anton-st-christoph-stuben-lech-zuers-warth-schroecken-ski-arlberg/,Austria,Tyrol (Tirol),Tiroler Oberland / Landeck / St. Anton am Arlberg / Europe / Austria / Vorarlberg / Bregenz / Bregenzerwald,1507,1304,2811,299.7,85,€ 81.50,slope+alt
SkiWelt Wilder Kaiser-Brixental,https://www.skiresort.com/en/ski-resort/skiwelt-wilder-kaiser-brixental/,Austria,Tyrol (Tirol),Tiroler Unterland / Wilder Kaiser / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Brixental / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Holiday Region Hohe Salve,1249,620,1869,275,81,€ 79.50,slope+alt
Les Sybelles – Le Corbier/La Toussuire/Les Bottières/St Sorlin/St Jean d’Arves,https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Maurienne,1520,1100,2620,275,61,€ 60.50,slope+alt
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,Austria,Salzburg (Salzburger Land),Pinzgau / Glemmtal / Europe / Austria / Salzburg (Salzburger Land) / Pinzgau / Saalfelden Leogang / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Pillersee Valley (Pillerseetal),1266,830,2096,270,69,"€ 82,-",slope+alt
